State,AirForce ,Army,CoastGuard,MarineCorps,Navy,Total
ALABAMA,2,4,1,,,7
ALASKA,2,2,1,,,5
ARIZONA,2,3,,1,,6
ARKANSAS,1,2,,,,3
CALIFORNIA,7,5,2,5,13,32
COLORADO,5,1,,,,6
CONNECTICUT,,,1,,1,2
DELAWARE,1,,,,,1
DISTRICT OF COLUMBIA,1,2,1,1,2,7
FLORIDA,5,,3,,9,17
GEORGIA,2,7,,1,2,12
HAWAII,1,3,1,2,3,10
IDAHO,1,,,,,1
ILLINOIS,1,2,,,1,4
KANSAS,1,2,,,,3
KENTUCKY,,3,,,,3
LOUISIANA,1,2,,,2,5
MAINE,,,,,2,2
MARYLAND,1,3,,,4,8
MASSACHUSETTS,1,1,1,,,3
MICHIGAN,1,1,,,,2
MISSISSIPPI,2,1,,,3,6
MISSOURI,1,1,,,,2
MONTANA,1,,,,,1
NEBRASKA,1,,,,,1
NEVADA,1,,,,1,2
NEW HAMPSHIRE,,,,,1,1
NEW JERSEY,1,2,1,,2,6
NEW MEXICO,3,1,,,,4
NEW YORK,,5,,,1,6
NORTH CAROLINA,2,1,1,3,,7
NORTH DAKOTA,2,,,,,2
OHIO,1,,,,,1
OKLAHOMA,3,2,,,,5
PENNSYLVANIA,,3,,,1,4
RHODE ISLAND,,,,,1,1
SOUTH CAROLINA,2,1,,2,3,8
SOUTH DAKOTA,1,,,,,1
TENNESSEE,,,,,1,1
TEXAS,8,3,,,4,15
UTAH,1,1,,,,2
VIRGINIA,1,6,2,2,9,20
WASHINGTON,2,1,,,5,8
WEST VIRGINIA,1,,,,,1
WISCONSIN,,1,,,,1
WYOMING,1,,,,,1
