State,UFOReports
UNSPECIFIED/INTERNATIONAL,7626
"ALBERTA,CANADA",383
ALASKA,400
ALABAMA,789
ARKANSAS,742
ARIZONA,2994
"BRITISH COLUMBIA,CAN",895
CALIFORNIA,10639
COLORADO,1689
CONNECTICUT,1081
DISTRICT OF COLUMBIA,118
DELAWARE,203
FLORIDA,4711
GEORGIA,1526
HAWAII,398
IOWA,786
IDAHO,627
ILLINOIS,2921
INDIANA,1583
KANSAS,719
KENTUCKY,1021
LOUISIANA,669
MASSACHUSETTS,1500
"MANITOBA,CANADA",178
MARYLAND,999
MAINE,701
MICHIGAN,2306
MINNESOTA,1194
MISSOURI,1772
MISSISSIPPI,470
MONTANA,588
"NEW BRUNSWICK,CAN",135
NORTH CAROLINA,2093
NORTH DAKOTA,153
NEBRASKA,452
"NEWFOUNDLAND,CAN",32
NEW HAMPSHIRE,595
NEW JERSEY,1667
NEW MEXICO,927
"NOVA SCOTIA,CAN",164
NORTHWEST TERRITORY,23
NEVADA,1014
NEW YORK,3580
OHIO,2724
OKLAHOMA,857
"ONTARIO,CAN",1754
OREGON,2059
PENNSYLVANIA,2867
PRINCE EDW ISLAND,23
"PROV OF QUE,CAN",102
PUERTO RICO,36
QC,200
RHODE ISLAND,323
"SASKATCHEWAN,CAN",39
SOUTH CAROLINA,1254
SOUTH DAKOTA,226
SK,114
TENNESSEE,1343
TEXAS,4106
UTAH,812
VIRGINIA,1544
VIRGIN ISLANDS,2
VERMONT,340
WASHINGTON,4730
WISCONSIN,1455
WEST VIRGINIA,553
WYOMING,231
YUKON,7
YT,14
